"copyright";"date";"explanation";"hdurl";"media_type";"service_version";"title";"url"
"Tim Shortt";"2017-01-22";"Birds don't fly this high.  Airplanes don't go this fast.  The Statue of Liberty weighs less.  No species other than human can even comprehend what is going on, nor could any human just a millennium ago. The launch of a rocket bound for space is an event that inspires awe and challenges description.  Pictured here, a SpaceX Falcon 9 V rocket lifted off through a cloud deck from Cape Canaveral, Florida last July to deliver cargo and supplies to the International Space Station.  From a standing start, the 300,000+ kilogram rocket ship lifted its Dragon Capsule up to circle the Earth, where the outside air is too thin to breathe. Rockets bound for space are now launched from somewhere on Earth about once a week.   Participate: Take an Aesthetics & Astronomy Survey";"http://apod.nasa.gov/apod/image/1701/SpaceXLaunch_Shortt_3528.jpg";"image";"v1";"SpaceX Falcon 9 to Orbit";"http://apod.nasa.gov/apod/image/1701/SpaceXLaunch_Shortt_960.jpg"
"";"2017-01-21";"Plunging close to the outer edges of Saturn's rings, on January 16 the Cassini spacecraft captured this closest yet view of Daphnis. About 8 kilometers across and orbiting within the bright ring system's Keeler gap, the small moon is making waves. The 42-kilometer wide outer gap is foreshortened in the image by Cassini's viewing angle. Raised by the influenced of the small moon's weak gravity as it crosses the frame from left to right, the waves are formed in the ring material at the edge of the gap. A faint wave-like trace of ring material is just visible trailing close behind Daphnis. Remarkable details on Daphnis can also be seen, including a narrow ridge around its equator, likely an accumulation of particles from the ring.  Participate: Take an Aesthetics & Astronomy Survey";"http://apod.nasa.gov/apod/image/1701/PIA21056.jpg";"image";"v1";"Daphnis the Wavemaker";"http://apod.nasa.gov/apod/image/1701/PIA21056_1020c.jpg"
"Yuri Beletsky";"2017-01-20";"On January 18 a tantalizing sunset was captured in this snapshot. Seemingly sliced into many horizontal layers the Sun shimmered moments before it touched the horizon, setting over the Pacific Ocean as seen from the mountaintop Las Campanas Observatory in Chile. Pink hues of filtered sunlight were created by the long sight-line through the hazy atmosphere. But the remarkable layers correspond to low atmospheric layers of sharply different temperature and density also along the line of sight. Over a long path through each layer the rays of sunlight are refracted strongly and create different images or mirages of sections of the setting Sun.  Participate: Take an Aesthetics & Astronomy Survey";"http://apod.nasa.gov/apod/image/1701/pinky_sun_beletsky.jpg";"image";"v1";"Layer Cake Sunset";"http://apod.nasa.gov/apod/image/1701/pinky_sun_beletsky1024y.jpg"
"Stephen Leshin";"2017-01-19";"Like an illustration in a galactic Just So Story, the Elephant's Trunk Nebula winds through the emission nebula and young star cluster complex IC 1396, in the high and far off constellation of Cepheus. Also known as vdB 142, the cosmic elephant's trunk is over 20 light-years long. This colorful close-up view includes image data from a narrow band filter that transmits the light from ionized hydrogen atoms in the region. The resulting composite highlights the bright swept-back ridges that outline pockets of cool interstellar dust and gas. Such embedded, dark, tendril-shaped clouds contain the raw material for star formation and hide protostars within. Nearly 3,000 light-years distant, the relatively faint IC 1396 complex covers a large region on the sky, spanning over 5 degrees. This dramatic scene spans a 1 degree wide field, about the size of 2 Full Moons.";"http://apod.nasa.gov/apod/image/1701/vdB142_L(HaR)GB-finalLeshin2048.jpg";"image";"v1";"The Elephant's Trunk Nebula in Cepheus";"http://apod.nasa.gov/apod/image/1701/vdB142_L(HaR)GB-finalLeshin1024.jpg"
"";"2017-01-18";"If you could circle the Earth aboard the International Space Station, what might you see? Some amazing vistas, one of which was captured in this breathtaking picture in mid-2015. First, visible at the top, are parts of the space station itself including solar panels. Just below the station is the band of our Milky Way Galaxy, glowing with the combined light of billions of stars, but dimmed in patches by filaments of dark dust. The band of red light just below the Milky Way is airglow -- Earth's atmosphere excited by the Sun and glowing in specific colors of light.  Green airglow is visible below the red. Of course that's our Earth below its air, with the terminator between day and night visible near the horizon.  As clouds speckle the planet, illumination from a bright lightning bolt is seen toward the lower right.  Between work assignments, astronauts from all over the Earth have been enjoying vistas like this from the space station since the year 2000.";"http://apod.nasa.gov/apod/image/1701/ISSLightShow_nasa_4928.jpg";"image";"v1";"Space Station Vista: Planet and Galaxy";"http://apod.nasa.gov/apod/image/1701/ISSLightShow_nasa_960.jpg"
"Tamas Ladanyi";"2017-01-17";"No, this is not a good way to get to the Moon. What is pictured is a chance superposition of an airplane and the Moon. The contrail would normally appear white, but the large volume of air toward the setting Sun preferentially knocks away blue light, giving the reflected trail a bright red hue.  Far in the distance, to the right of the plane, is the young Moon.  This vast world shows only a sliver of itself because the Sun is nearly lined up behind it.  Captured two weeks ago, the featured image was framed by an eerie maroon sky, too far from day to be blue, too far from night to be black.  Within minutes the impromptu sky show ended.  The plane crossed the Moon. The contrail dispersed. The Sun set. The Moon set.  The sky faded to black, only to reveal thousands of stars that had been too faint to see through the rustic red din.    I Like Data: Help Analyze APOD's Social Media Footprint in 2015";"http://apod.nasa.gov/apod/image/1701/MoonTrail_Ladanyi_1000.jpg";"image";"v1";"Fly Me to the Moon";"http://apod.nasa.gov/apod/image/1701/MoonTrail_Ladanyi_960.jpg"
"";"2017-01-15";"What's the matter with the Bullet Cluster? This massive cluster of galaxies (1E 0657-558) creates gravitational lens distortions of background galaxies in a way that has been interpreted as strong evidence for the leading theory: that dark matter exists within. Different recent analyses, though, indicate that a less popular alternative -- modifying gravity-- could explain cluster dynamics without dark matter, and provide a more likely progenitor scenario as well. Currently, the two scientific hypotheses are competing to explain the observations: it's invisible matter versus amended gravity. The duel is dramatic as a clear Bullet-proof example of dark matter would shatter the simplicity of modified gravity theories.  For the near future, the battle over the Bullet cluster is likely to continue as new observations, computer simulations, and analyses are completed.  The featured image is a Hubble/Chandra/Magellan composite with red depicting the X-rays emitted by hot gas, and blue depicting the suggested separated dark matter distribution.";"http://apod.nasa.gov/apod/image/1701/bulletcluster_comp_2048.jpg";"image";"v1";"The Matter of the Bullet Cluster";"http://apod.nasa.gov/apod/image/1701/bulletcluster_comp_960.jpg"
"Lorand Fenyes";"2017-01-14";"Clouds of stardust drift through this deep skyscape. The cosmic scene spans nearly 2 degrees across the Perseus molecular cloud some 850 light-years away. A triangle of dusty nebulae reflecting light from embedded stars is captured in the telescopic field of view. With a characteristic bluish color reflection nebula NGC 1333 is at left, vdB13 at bottom right, and rare yellowish reflection nebula vdB12 lies at the top. Stars are forming in the Perseus molecular cloud, though most are obscured at visible wavelengths by the pervasive dust. Still, hints of contrasting red emission from Herbig-Haro objects, the jets and shocked glowing gas emanating from recently formed stars, are evident in NGC 1333. At the estimated distance of the molecular cloud, legs of the triangle formed by the reflection nebulae would be about 20 light-years long.";"http://apod.nasa.gov/apod/image/1701/NGC1333v13v12fenyes.jpg";"image";"v1";"Stardust in the Perseus Molecular Cloud";"http://apod.nasa.gov/apod/image/1701/NGC1333v13v12fenyes1024.jpg"
"Stephen Mudge";"2017-01-13";"On January 1, a Mars-assisted viewing opportunity allowed binocular-equipped skygazers to cross an ice giant off their life list. Remarkably, the line-of-sight to the bright Red Planet could guide you to within 0.02 degrees of a faint, pale Neptune in Earth's night skies. Taken within 3 hours of their closest conjunction, these panels capture the odd couple's appearance in skies over Brisbane, Australia. A wide field view includes the new year's slender crescent moon near the western horizon and Venus as the brilliant evening star. Mars and Neptune are indicated at the upper right. The two inset magnified views were taken with the same telephoto lens and so do show the Mars-Neptune conjunction and the apparent size of the crescent moon at the same scale. This week Neptune hangs out near Venus on the western sky.";"http://apod.nasa.gov/apod/image/1701/Neptune-MarsConjunction1Jan17Mudge.jpg";"image";"v1";"When Mars met Neptune";"http://apod.nasa.gov/apod/image/1701/Neptune-MarsConjunction1Jan17Mudge1024.jpg"
"Adam Block";"2017-01-12";"Large spiral galaxy NGC 891 spans about 100 thousand light-years and is seen almost exactly edge-on from our perspective. In fact, about 30 million light-years distant in the constellation Andromeda, NGC 891 looks a lot like our Milky Way. At first glance, it has a flat, thin, galactic disk of stars and a central bulge cut along the middle by regions of dark obscuring dust. But remarkably apparent in NGC 891's edge-on presentation are filaments of dust that extend hundreds of light-years above and below the center line. The dust has likely been blown out of the disk by supernova explosions or intense star formation activity. Fainter galaxies can also be seen near the edge-on disk in this deep portrait of NGC 891. (Editor's Note: The NGC 891 image used in today's APOD posting has been replaced and the credit corrected to indicate the author of the original work.)";"http://apod.nasa.gov/apod/image/1701/n891_block.jpg";"image";"v1";"Edge-On NGC 891";"http://apod.nasa.gov/apod/image/1701/n891_block950.jpg"
"";"2017-01-11";"Mimas is an icy, crater-pocked moon of Saturn a mere 400 kilometers (250 miles) in diameter. Its largest crater Herschel is nearly 140 kilometers wide. About a third the diameter of Mimas itself, Herschel crater gives the small moon an ominous appearance, especially for scifi fans of the Death Star battlestation of Star Wars fame. In fact, only a slightly bigger impact than the one that created such a large crater on a small moon could have destroyed Mimas entirely. In this Cassini image from October 2016, the anti-Saturn hemisphere of the synchronously rotating moon is bathed in sunlight, its large crater near the right limb. Casting a long shadow across the crater floor, Herschel's central mountain peak is nearly as tall as Mount Everest on planet Earth.";"http://apod.nasa.gov/apod/image/1701/PIA20515MimasMountain.jpg";"image";"v1";"Mimas, Crater, and Mountain";"http://apod.nasa.gov/apod/image/1701/PIA20515MimasMountain1020.jpg"
"Pierre Destribats";"2017-01-10";"Who guards the north?  The featured picture was taken last March in Finnish Lapland where weather can include sub-freezing temperatures and driving snow.  Surreal landscapes sometimes result, where white alien-looking sentinels seem to patrol the landscape.  In actuality though, the aliens are snow-covered trees, and the red hut they seem to be guarding is an outhouse.  Far in the distance, behind this uncommon Earthly vista, is a beautiful night sky which includes a green aurora, bright stars, and streaks of orbiting satellites.  Of course, in the spring, the trees thaw and Lapland looks much  different.";"http://apod.nasa.gov/apod/image/1701/SnowTreesAurora_Destribats_3000.jpg";"image";"v1";"Sentinels of a Northern Sky";"http://apod.nasa.gov/apod/image/1701/SnowTreesAurora_Destribats_1080.jpg"
"";"2017-01-09";"What's happening in the center of spiral NGC 5033? Many things -- some circular, some energetic, and some not well understood. NGC 5033 is known as a Seyfert galaxy because of the great activity seen in its nucleus. Bright stars, dark dust, and interstellar gas all swirl quickly around a galactic center that appears slightly offset from a supermassive black hole. This offset is thought to be the result of NGC 5033 merging with another galaxy sometime in the past billion years.  The featured image was taken by the Hubble Space Telescope in 2005. NGC 5033 spans about 100,000 light years and is so far away that we see it only as it existed about 40 million years ago.";"http://apod.nasa.gov/apod/image/1701/NGC5033_HubbleSchmidt_1280.jpg";"image";"v1";"In the Center of Spiral Galaxy NGC 5033";"http://apod.nasa.gov/apod/image/1701/NGC5033_HubbleSchmidt_960.jpg"
"";"2017-01-08";"How can a round star make a square nebula?  This conundrum comes to light when studying  planetary nebulae like IC 4406.  Evidence indicates that IC 4406 is likely a hollow cylinder, with its square appearance the result of our vantage point in viewing the cylinder from the side.  Were IC 4406 viewed from the top, it would likely look similar to the Ring Nebula.  This representative-color picture is a composite made by combining images taken by the Hubble Space Telescope in 2001 and 2002. Hot gas flows out the ends of the cylinder, while filaments of dark dust and molecular gas lace the bounding walls.  The star primarily responsible for this interstellar sculpture can be found in the planetary nebula's center.  In a few million years, the only thing left visible in IC 4406 will be a fading white dwarf star.";"http://apod.nasa.gov/apod/image/1701/ic4406_hubble_2859.jpg";"image";"v1";"IC 4406: A Seemingly Square Nebula";"http://apod.nasa.gov/apod/image/1701/ic4406_hubble_960.jpg"
"Eric Coles";"2017-01-07";"Normally faint and elusive, the Jellyfish Nebula is caught in this alluring telescopic mosaic. The scene is anchored below by bright star Eta Geminorum, at the foot of the celestial twin, while the Jellyfish Nebula is the brighter arcing ridge of emission with tentacles dangling below and left of center. In fact, the cosmic jellyfish is part of bubble-shaped supernova remnant IC 443, the expanding debris cloud from a massive star that exploded. Light from the explosion first reached planet Earth over 30,000 years ago. Like its cousin in astrophysical waters the Crab Nebula supernova remnant, the Jellyfish Nebula is known to harbor a neutron star, the remnant of the collapsed stellar core. An emission nebula cataloged as Sharpless 249 fills the field at the upper right. The Jellyfish Nebula is about 5,000 light-years away. At that distance, this narrowband composite image presented in the Hubble Palette would be about 300 light-years across.";"http://apod.nasa.gov/apod/image/1701/IC443HubblePalette2_8x10flat4bColes.jpg";"image";"v1";"Sharpless 249 and the Jellyfish Nebula";"http://apod.nasa.gov/apod/image/1701/IC443HubblePalette2_8x10flat4bColes1024.jpg"
"Stan Honda";"2017-01-06";"Moonset on January 1 is captured in this sea and night sky snapshot from the port city of New York. Its warm moonlight shining through haze and thin clouds, this New Year's Moon was about 3 days old, in a waxing crescent phase. The visible lunar disk is about 10 percent illuminated. Also easy to spot in hazy urban skies, Venus blazes forth over the western horizon, begining the year as Earth's evening star. Like the Moon, Venus goes through a range of phases as seen from planet Earth. As the year began, telescopic views of the brilliant inner planet's disk would show it about 50 percent illuminated, growing into a larger but thinner crescent by early March. New York Harbor's welcoming beacon, the Statue of Liberty, anchors a terrestrial corner of the night's triangle at the far left.";"http://apod.nasa.gov/apod/image/1701/FirstMoonset-SHonda.jpg";"image";"v1";"New York Harbor Moonset";"http://apod.nasa.gov/apod/image/1701/FirstMoonset-SHonda1024.jpg"
"Wolfgang Ries/Stefan Heutz";"2017-01-05";"The spiky stars in the foreground of this sharp cosmic portrait are well within our own Milky Way Galaxy. The two eye-catching galaxies lie far beyond the Milky Way, at a distance of over 300 million light-years. Their distorted appearance is due to gravitational tides as the pair engage in close encounters. Cataloged as Arp 273 (also as UGC 1810), the galaxies do look peculiar, but interacting galaxies are now understood to be common in the universe. In fact, the nearby large spiral Andromeda Galaxy is known to be some 2 million light-years away and approaching the Milky Way. Arp 273 may offer an analog of their far future encounter. Repeated galaxy encounters on a cosmic timescale can ultimately result in a merger into a single galaxy of stars. From our perspective, the bright cores of the Arp 273 galaxies are separated by only a little over 100,000 light-years.";"http://apod.nasa.gov/apod/image/1701/ugc1810_LRGB_2Heutz.jpg";"image";"v1";"Peculiar Galaxies of Arp 273";"http://apod.nasa.gov/apod/image/1701/ugc1810_LRGB_2Heutz1024c.jpg"
"Rogelio Bernal
Andreo";"2017-01-04";"The beautiful Andromeda Galaxy is often imaged by planet Earth-based astronomers. Also known as M31, the nearest large spiral galaxy is a familiar sight with dark dust lanes, bright yellowish core, and spiral arms traced by blue starlight. A mosaic of well-exposed broad and narrow-band image data, this colorful, premier portrait of our neighboring island universe offers strikingly unfamiliar features though, faint reddish clouds of glowing ionized hydrogen gas in the same wide field of view. Still, the ionized hydrogen clouds likely lie in the foreground of the scene, well within our Milky Way Galaxy. They could be associated with the pervasive, dusty interstellar cirrus clouds scattered hundreds of light-years above our own galactic plane. If they were located at the 2.5 million light-year distance of the Andromeda Galaxy they would be enormous, since the Andromeda Galaxy itself is 200,000 or so light-years across.";"http://apod.nasa.gov/apod/image/1701/RBA_DS_CloudsOfAndromeda2_960.jpg";"image";"v1";"Clouds of Andromeda";"http://apod.nasa.gov/apod/image/1701/RBA_DS_CloudsOfAndromeda2_960ex.jpg"
"";"2017-01-03";"What do the craters of Saturn's small moon Pandora look like up close?  To help find out, NASA sent the robotic Cassini spacecraft, now orbiting Saturn, past the unusual moon two weeks ago. The highest resolution image of Pandora ever taken was then captured from about 40,000 kilometers out and is featured here.  Structures as small as 300 meters can be discerned on 80-kilometer wide Pandora.  Craters on Pandora appear to be covered over by some sort of material, providing a more smooth appearance than sponge-like Hyperion, another small moon of Saturn.  Curious grooves and ridges also appear to cross the surface of the small moon.  Pandora is partly interesting because, along with its companion moon Prometheus, it helps shepherd the particles of Saturn's F ring into a distinct ring.";"http://apod.nasa.gov/apod/image/1701/pandora_cassini_501.jpg";"image";"v1";"Pandora Close-up at Saturn";"http://apod.nasa.gov/apod/image/1701/pandora_cassini_960.jpg"
"Fritz Helmut Hemmerich";"2017-01-02";"An old comet has returned to the inner Solar System. Not only is Comet 45P/HondaMrkosPajduáková physically ancient, it was first discovered 13 orbits ago in 1948. Comet 45P spends most of its time out near the orbit of Jupiter and last neared the Sun in 2011.  Over the past few months, however, Comet 45P's new sunward plummet has brightened it considerably.  Two days ago, the comet passed the closest part of its orbit to the Sun.  The comet is currently visible with binoculars over the western horizon just after sunset, not far from the much brighter planet Venus.  Pictured, Comet 45P was captured last week sporting a long ion tail with impressive structure.  Comet 45P will pass relatively close to the Earth early next month.    APOD Lecture: Friday, Jan. 6,  Amateur Astronomers Association of New York City";"http://apod.nasa.gov/apod/image/1701/Comet45P_Hemmerich_2180.jpg";"image";"v1";"Comet 45P Returns";"http://apod.nasa.gov/apod/image/1701/Comet45P_Hemmerich_960.jpg"
"Sebastian Voltmer";"2017-01-01";"Higher than the highest building, higher than the highest mountain, higher than the highest airplane, lies the realm of the aurora.  Auroras rarely reach below 60 kilometers, and can range up to 1000 kilometers.  Aurora light results from energetic electrons and protons striking molecules in the Earth's atmosphere.  Frequently, when viewed from space, a complete aurora will appear as a circle around one of the Earth's magnetic poles.  The featured wide-angle image, horizontally compressed, captured an unexpected auroral display that stretched across the sky five years ago over eastern Norway.";"http://apod.nasa.gov/apod/image/1701/aurora_voltmer_1920.jpg";"image";"v1";"A Full Sky Aurora Over Norway";"http://apod.nasa.gov/apod/image/1701/aurora_voltmer_960.jpg"
"";"2016-12-31";"The Trifid Nebula, also known as Messier 20, is easy to find with a small telescope, a well known stop in the nebula rich constellation Sagittarius. But where visible light pictures show the nebula divided into three parts by dark, obscuring dust lanes, this penetrating infrared image reveals filaments of glowing dust clouds and newborn stars. The spectacular false-color view is courtesy of the Spitzer Space Telescope. Astronomers have used the Spitzer infrared image data to count newborn and embryonic stars which otherwise can lie hidden in the natal dust and gas clouds of this intriguing stellar nursery. As seen here, the Trifid is about 30 light-years across and lies only 5,500 light-years away.  News: Leap second to be added to 2016.";"http://apod.nasa.gov/apod/image/1612/trifid_spitzerR.jpg";"image";"v1";"Infrared Trifid";"http://apod.nasa.gov/apod/image/1612/trifid_spitzerR1024.jpg"
"";"2016-12-30";"Tidally locked in synchronous rotation, the Moon always presents its familiar nearside to denizens of planet Earth. From lunar orbit, the Moon's farside can become familiar, though. In fact this sharp picture, a mosaic from the Lunar Reconnaissance Orbiter's wide angle camera, is centered on the lunar farside. Part of a global mosaic of over 15,000 images acquired between November 2009 and February 2011, the highest resolution version shows features at a scale of 100 meters per pixel. Surprisingly, the rough and battered surface of the farside looks very different from the nearside covered with smooth dark lunar maria.  The likely explanation is that the farside crust is thicker, making it harder for molten material from the interior to flow to the surface and form the smooth maria.";"http://apod.nasa.gov/apod/image/1612/farside_lro1600.jpg";"image";"v1";"Lunar Farside";"http://apod.nasa.gov/apod/image/1612/farside_lro800.jpg"
"John Gleason";"2016-12-29";"An alluring sight in southern skies, the Large Magellanic Cloud (LMC) is seen here through narrowband filters. The filters are designed to transmit only light emitted by ionized sulfur, hydrogen, and oxygen atoms. Ionized by energetic starlight, the atoms emit their characteristic light as electrons are recaptured and the atom transitions to a lower energy state. As a result, this false color image of the LMC seems covered with shell-shaped clouds of ionized gas surrounding massive, young stars. Sculpted by the strong stellar winds and ultraviolet radiation, the glowing clouds, dominated by emission from hydrogen, are known as H II (ionized hydrogen) regions. Itself composed of many overlapping shells, the Tarantula Nebula is the large star forming region at top center. A satellite of our Milky Way Galaxy, the LMC is about 15,000 light-years across and lies a mere 180,000 light-years away in the constellation Dorado.";"http://apod.nasa.gov/apod/image/1612/lmcapodgleason.jpg";"image";"v1";"Shell Game in the LMC";"http://apod.nasa.gov/apod/image/1612/lmcapodgleason960.jpg"
